Day,Time input (ns),Time input (%),Time A (ns),Time A (%),Time B (ns),Time B (%),Time total
01,24629,47.46,26290,50.67,970,1.87,51.889µs
02,36700,23.88,42099,27.40,74860,48.72,153.659µs
03,12249,2.12,274758,47.65,289577,50.22,576.584µs
04,70669,71.95,21860,22.26,5690,5.79,98.219µs
05,51190,51.78,25910,26.21,21769,22.02,98.869µs
06,200,0.04,117959,22.06,416596,77.90,534.755µs
07,186688,36.33,317897,61.87,9250,1.80,513.835µs
08,,,,,,,
09,,,,,,,
10,,,,,,,
11,,,,,,,
12,,,,,,,
13,,,,,,,
14,,,,,,,
15,,,,,,,
16,,,,,,,
17,,,,,,,
18,,,,,,,
19,,,,,,,
20,,,,,,,
21,,,,,,,
22,,,,,,,
23,,,,,,,
24,,,,,,,
25,,,,,,,
